# z N(z)
6.541353383458646142e+00 -3.798071713802575466e-02
6.616541353383458279e+00 -3.657937665531967031e-02
6.691729323308270416e+00 -3.522974017653956319e-02
6.766917293233082553e+00 -3.392990002538858602e-02
6.842105263157894690e+00 -3.267801891139265891e-02
6.917293233082705939e+00 -3.147232733293772039e-02
6.992481203007518076e+00 -3.031112107612491183e-02
7.067669172932330213e+00 -2.919275880590837743e-02
7.142857142857142350e+00 -2.811565974611046625e-02
7.218045112781954487e+00 -2.707830144503547282e-02
7.293233082706766623e+00 -2.607921762352352624e-02
7.368421052631578760e+00 -2.511699610240281794e-02
7.443609022556390897e+00 -2.419027680641087572e-02
7.518796992481203034e+00 -2.329774984176329403e-02
7.593984962406014283e+00 -2.243815364465272591e-02
7.669172932330826420e+00 -2.161027319806097316e-02
7.744360902255638557e+00 -2.081293831436392336e-02
7.819548872180450694e+00 -2.004502198130147725e-02
7.894736842105262831e+00 -1.930543876897487451e-02
7.969924812030074968e+00 -1.859314329561959078e-02
8.045112781954886216e+00 -1.790712874998517598e-02
8.120300751879698353e+00 -1.724642546823357270e-02
8.195488721804510490e+00 -1.661009956334437432e-02
8.270676691729322627e+00 -1.599725160508959354e-02
8.345864661654134764e+00 -1.540701534871229822e-02
8.421052631578946901e+00 -1.483855651051201041e-02
8.496240601503759038e+00 -1.429107158860626510e-02
8.571428571428571175e+00 -1.376378672720144497e-02
8.646616541353383312e+00 -1.325595662276760935e-02
8.721804511278195449e+00 -1.276686347057121203e-02
8.796992481203007586e+00 -1.229581595007665090e-02
8.872180451127819723e+00 -1.184214824778256209e-02
8.947368421052631859e+00 -1.140521911611159546e-02
9.022556390977442220e+00 -1.098441096702360356e-02
9.097744360902254357e+00 -1.057912899907080539e-02
9.172932330827066494e+00 -1.018880035666139793e-02
9.248120300751878631e+00 -9.812873320342925532e-03
9.323308270676690768e+00 -9.450816526961081446e-03
9.398496240601502905e+00 -9.102118218591657983e-03
9.473684210526315042e+00 -8.766285519183897659e-03
9.548872180451127178e+00 -8.442843737892946621e-03
9.624060150375939315e+00 -8.131335698116609612e-03
9.699248120300751452e+00 -7.831321091288034886e-03
9.774436090225563589e+00 -7.542375854510915620e-03
9.849624060150375726e+00 -7.264091571157565118e-03
9.924812030075187863e+00 -6.996074893582540991e-03
1.000000000000000000e+01 -6.737946987135919746e-03
1.007518796992481214e+01 -6.489342994690307925e-03
1.015037593984962427e+01 -6.249911520924718647e-03
1.022556390977443641e+01 -6.019314135636352411e-03
1.030075187969924677e+01 -5.797224895378269918e-03
1.037593984962405891e+01 -5.583329882746713123e-03
1.045112781954887105e+01 -5.377326762667007654e-03
1.052631578947368318e+01 -5.178924355050720275e-03
1.060150375939849532e+01 -4.987842223220130891e-03
1.067669172932330746e+01 -4.803810277518230122e-03
1.075187969924811959e+01 -4.626568393543977094e-03
1.082706766917293173e+01 -4.455866044473163166e-03
1.090225563909774387e+01 -4.291461946945229582e-03
1.097744360902255600e+01 -4.133123720015472423e-03
1.105263157894736814e+01 -3.980627556690563909e-03
1.112781954887218028e+01 -3.833757907583168478e-03
1.120300751879699241e+01 -3.692307176238442817e-03
1.127819548872180455e+01 -3.556075425701810296e-03
1.135338345864661669e+01 -3.424870095913241323e-03
1.142857142857142705e+01 -3.298505731528585290e-03
1.150375939849623919e+01 -3.176803719783223654e-03
