# z N(z)
1.601503759398496030e+01 -7.889931610062722589e-02
1.609022556390977243e+01 -7.795290379099499567e-02
1.616541353383458457e+01 -7.701750875507680505e-02
1.624060150375939671e+01 -7.609299879121439458e-02
1.631578947368420884e+01 -7.517924323616331783e-02
1.639097744360902098e+01 -7.427611294662596342e-02
1.646616541353383312e+01 -7.338348028099928033e-02
1.654135338345864525e+01 -7.250121908133504156e-02
1.661654135338345739e+01 -7.162920465550946802e-02
1.669172932330826953e+01 -7.076731375960038095e-02
1.676691729323308166e+01 -6.991542458046873243e-02
1.684210526315789380e+01 -6.907341671854233534e-02
1.691729323308270594e+01 -6.824117117079972483e-02
1.699248120300751808e+01 -6.741857031395112609e-02
1.706766917293233021e+01 -6.660549788781426617e-02
1.714285714285714235e+01 -6.580183897888330913e-02
1.721804511278195449e+01 -6.500748000408772265e-02
1.729323308270676662e+01 -6.422230869473918857e-02
1.736842105263157876e+01 -6.344621408066464241e-02
1.744360902255639090e+01 -6.267908647452247184e-02
1.751879699248120303e+01 -6.192081745630002160e-02
1.759398496240601517e+01 -6.117129985799055203e-02
1.766917293233082731e+01 -6.043042774844671616e-02
1.774436090225563945e+01 -5.969809641840922998e-02
1.781954887218045158e+01 -5.897420236570793950e-02
1.789473684210526372e+01 -5.825864328063359854e-02
1.796992481203007586e+01 -5.755131803147828240e-02
1.804511278195488444e+01 -5.685212665024224482e-02
1.812030075187969658e+01 -5.616097031850482424e-02
1.819548872180450871e+01 -5.547775135345874714e-02
1.827067669172932085e+01 -5.480237319410394964e-02
1.834586466165413299e+01 -5.413474038760057727e-02
1.842105263157894512e+01 -5.347475857577839442e-02
1.849624060150375726e+01 -5.282233448180075758e-02
1.857142857142856940e+01 -5.217737589698181327e-02
1.864661654135338154e+01 -5.153979166775424919e-02
1.872180451127819367e+01 -5.090949168278635639e-02
1.879699248120300581e+01 -5.028638686024645976e-02
1.887218045112781795e+01 -4.967038913521264198e-02
1.894736842105263008e+01 -4.906141144722646341e-02
1.902255639097744222e+01 -4.845936772798837416e-02
1.909774436090225436e+01 -4.786417288919347229e-02
1.917293233082706649e+01 -4.727574281050587329e-02
1.924812030075187863e+01 -4.669399432766969948e-02
1.932330827067669077e+01 -4.611884522075522519e-02
1.939849624060150290e+01 -4.555021420253869274e-02
1.947368421052631504e+01 -4.498802090701360668e-02
1.954887218045112718e+01 -4.443218587803253461e-02
1.962406015037593932e+01 -4.388263055807730545e-02
1.969924812030075145e+01 -4.333927727715639749e-02
1.977443609022556359e+01 -4.280204924182746257e-02
1.984962406015037573e+01 -4.227087052434410491e-02
1.992481203007518786e+01 -4.174566605192470137e-02
2.000000000000000000e+01 -4.122636159614224971e-02
2.007518796992481214e+01 -4.071288376243351048e-02
2.015037593984962427e+01 -4.020515997972583938e-02
2.022556390977443641e+01 -3.970311849018069023e-02
2.030075187969924855e+01 -3.920668833905187334e-02
2.037593984962406068e+01 -3.871579936465723709e-02
2.045112781954887282e+01 -3.823038218846270403e-02
2.052631578947368141e+01 -3.775036820527676029e-02
2.060150375939849354e+01 -3.727568957355423956e-02
2.067669172932330568e+01 -3.680627920580826357e-02
2.075187969924811782e+01 -3.634207075912850027e-02
2.082706766917292995e+01 -3.588299862580481003e-02
2.090225563909774209e+01 -3.542899792405473924e-02
2.097744360902255423e+01 -3.498000448885352220e-02
2.105263157894736636e+01 -3.453595486286568927e-02
2.112781954887217850e+01 -3.409678628747626200e-02
2.120300751879699064e+01 -3.366243669392109811e-02
2.127819548872180277e+01 -3.323284469451447121e-02
2.135338345864661491e+01 -3.280794957397298317e-02
2.142857142857142705e+01 -3.238769128083462262e-02
2.150375939849623919e+01 -3.197201041897145685e-02
2.157894736842105132e+01 -3.156084823919506205e-02
2.165413533834586346e+01 -3.115414663095334574e-02
2.172932330827067560e+01 -3.075184811411769970e-02
2.180451127819548773e+01 -3.035389583085907478e-02
2.187969924812029987e+01 -2.996023353761225957e-02
2.195488721804511201e+01 -2.957080559712674944e-02
2.203007518796992414e+01 -2.918555697060341153e-02
2.210526315789473628e+01 -2.880443320991577308e-02
2.218045112781954842e+01 -2.842738044991464236e-02
2.225563909774436055e+01 -2.805434540081531633e-02
2.233082706766917269e+01 -2.768527534066595602e-02
2.240601503759398483e+01 -2.732011810789620673e-02
2.248120300751879697e+01 -2.695882209394519918e-02
2.255639097744360910e+01 -2.660133623596750221e-02
2.263157894736842124e+01 -2.624761000961628107e-02
2.270676691729323338e+01 -2.589759342190263089e-02
2.278195488721804551e+01 -2.555123700412990917e-02
2.285714285714285410e+01 -2.520849180490215835e-02
2.293233082706766623e+01 -2.486930938320578571e-02
2.300751879699247837e+01 -2.453364180156316493e-02
2.308270676691729051e+01 -2.420144161925763190e-02
2.315789473684210265e+01 -2.387266188562849403e-02
2.323308270676691478e+01 -2.354725613343537291e-02
2.330827067669172692e+01 -2.322517837229094370e-02
2.338345864661653906e+01 -2.290638308216092281e-02
