z_t0,u_t0,z_T4,u_T4,z_3T4,u_3T4
17.057057057057058,-4356388.7278955,17.057057057057058,-3080432.010979546,17.057057057057058,4356388.7278955
17.097097097097098,-4400463.956677079,17.097097097097098,-3111597.9041333487,17.097097097097098,4400463.956677079
17.137137137137138,-4442775.533124561,17.137137137137138,-3141516.706762057,17.137137137137138,4442775.533124561
17.177177177177178,-4483306.499273672,17.177177177177178,-3170176.427774135,17.177177177177178,4483306.499273672
17.217217217217218,-4522040.610807052,17.217217217217218,-3197565.580702624,17.217217217217218,4522040.610807052
17.25725725725726,-4558962.343564772,17.25725725725726,-3223673.1883087656,17.25725725725726,4558962.343564772
17.2972972972973,-4594056.899766236,17.2972972972973,-3248488.786981553,17.2972972972973,4594056.899766236
17.33733733733734,-4627310.213940947,17.33733733733734,-3272002.430931418,17.33733733733734,4627310.213940947
17.37737737737738,-4658708.958565774,17.37737737737738,-3294204.696176378,17.37737737737738,4658708.958565774
17.41741741741742,-4688240.549406468,17.41741741741742,-3315086.6843190594,17.41741741741742,4688240.549406468
17.45745745745746,-4715893.150561262,17.45745745745746,-3334640.0261130603,17.45745745745746,4715893.150561262
17.4974974974975,-4741655.67920456,17.4974974974975,-3352856.884817249,17.4974974974975,4741655.67920456
17.53753753753754,-4765517.810028801,17.53753753753754,-3369729.9593366305,17.53753753753754,4765517.810028801
17.57757757757758,-4787469.979382708,17.57757757757758,-3385252.487148534,17.57757757757758,4787469.979382708
17.61761761761762,-4807503.389104293,17.61761761761762,-3399418.2470129547,17.61761761761762,4807503.389104293
17.65765765765766,-4825610.0100470465,17.65765765765766,-3412221.5614659507,17.65765765765766,4825610.0100470465
17.6976976976977,-4841782.585297927,17.6976976976977,-3423657.2990950975,17.6976976976977,4841782.585297927
17.73773773773774,-4856014.633085834,17.73773773773774,-3433720.8765960974,17.73773773773774,4856014.633085834
17.77777777777778,-4868300.449379432,17.77777777777778,-3442408.2606097134,17.77777777777778,4868300.449379432
17.81781781781782,-4878635.110173254,17.81781781781782,-3449715.9693382876,17.81781781781782,4878635.110173254
17.85785785785786,-4887014.473461184,17.85785785785786,-3455641.0739412084,17.85785785785786,4887014.473461184
17.8978978978979,-4893435.180896516,17.8978978978979,-3460181.1997087463,17.8978978978979,4893435.180896516
17.93793793793794,-4897894.659137947,17.93793793793794,-3463334.5270138164,17.93793793793794,4897894.659137947
17.97797797797798,-4900391.120880937,17.97797797797798,-3465099.7920412575,17.97797797797798,4900391.120880937
18.01801801801802,-4900923.565574039,18.01801801801802,-3465476.2872943566,18.01801801801802,4900923.565574039
18.05805805805806,-4899491.779819909,18.05805805805806,-3464463.8618784044,18.05805805805806,4899491.779819909
18.0980980980981,-4896096.337460827,18.0980980980981,-3462062.92156117,18.0980980980981,4896096.337460827
18.13813813813814,-4890738.599348722,18.13813813813814,-3458274.4286102788,18.13813813813814,4890738.599348722
18.17817817817818,-4883420.712799742,18.17817817817818,-3453099.9014075412,18.17817817817818,4883420.712799742
18.21821821821822,-4874145.610733648,18.21821821821822,-3446541.413840409,18.21821821821822,4874145.610733648
18.25825825825826,-4862917.010498332,18.25825825825826,-3438601.594470784,18.25825825825826,4862917.010498332
18.2982982982983,-4849739.412379945,18.2982982982983,-3429283.6254815217,18.2982982982983,4849739.412379945
18.33833833833834,-4834618.097799245,18.33833833833834,-3418591.2414010535,18.33833833833834,4834618.097799245
18.37837837837838,-4817559.127194863,18.37837837837838,-3406528.7276066327,18.37837837837838,4817559.127194863
18.41841841841842,-4798569.337594353,18.41841841841842,-3393100.9186068065,18.41841841841842,4798569.337594353
18.45845845845846,-4777656.339873995,18.45845845845846,-3378313.196103803,18.45845845845846,4777656.339873995
18.4984984984985,-4754828.515708452,18.4984984984985,-3362171.4868366127,18.4984984984985,4754828.515708452
18.53853853853854,-4730095.01421149,18.53853853853854,-3344682.2602056237,18.53853853853854,4730095.01421149
18.57857857857858,-4703465.748269131,18.57857857857858,-3325852.525679762,18.57857857857858,4703465.748269131
18.61861861861862,-4674951.390566688,18.61861861861862,-3305689.8299871855,18.61861861861862,4674951.390566688
18.65865865865866,-4644563.36931128,18.65865865865866,-3284202.2540906454,18.65865865865866,4644563.36931128
18.6986986986987,-4612313.863651546,18.6986986986987,-3261398.4099487336,18.6986986986987,4612313.863651546
18.73873873873874,-4578215.798796396,18.73873873873874,-3237287.437064318,18.73873873873874,4578215.798796396
18.77877877877878,-4542282.840834734,18.77877877877878,-3211878.998821536,18.77877877877878,4542282.840834734
18.81881881881882,-4504529.391258271,18.81881881881882,-3185183.2786128353,18.81881881881882,4504529.391258271
