# z N(z)
6.390977443609021869e+00 -7.218202806191009735e-01
6.466165413533834005e+00 -7.190376260264775832e-01
6.541353383458646142e+00 -7.162651336599957785e-01
6.616541353383458279e+00 -7.135027643357610971e-01
6.691729323308270416e+00 -7.107504790129492989e-01
6.766917293233082553e+00 -7.080082387932540300e-01
6.842105263157894690e+00 -7.052760049203371517e-01
6.917293233082705939e+00 -7.025537387792811783e-01
6.992481203007518076e+00 -6.998414018960439353e-01
7.067669172932330213e+00 -6.971389559369138844e-01
7.142857142857142350e+00 -6.944463627079695556e-01
7.218045112781954487e+00 -6.917635841545380915e-01
7.293233082706766623e+00 -6.890905823606588987e-01
7.368421052631578760e+00 -6.864273195485471879e-01
7.443609022556390897e+00 -6.837737580780601787e-01
7.518796992481203034e+00 -6.811298604461648587e-01
7.593984962406014283e+00 -6.784955892864084070e-01
7.669172932330826420e+00 -6.758709073683895063e-01
7.744360902255638557e+00 -6.732557775972328740e-01
7.819548872180450694e+00 -6.706501630130641267e-01
7.894736842105262831e+00 -6.680540267904886420e-01
7.969924812030074968e+00 -6.654673322380696421e-01
8.045112781954886216e+00 -6.628900427978107190e-01
8.120300751879698353e+00 -6.603221220446385820e-01
8.195488721804510490e+00 -6.577635336858890236e-01
8.270676691729322627e+00 -6.552142415607924431e-01
8.345864661654134764e+00 -6.526742096399646975e-01
8.421052631578946901e+00 -6.501434020248966217e-01
8.496240601503759038e+00 -6.476217829474472110e-01
8.571428571428571175e+00 -6.451093167693374708e-01
8.646616541353383312e+00 -6.426059679816477077e-01
8.721804511278195449e+00 -6.401117012043148202e-01
8.796992481203007586e+00 -6.376264811856329207e-01
8.872180451127819723e+00 -6.351502728017545119e-01
8.947368421052631859e+00 -6.326830410561942175e-01
9.022556390977442220e+00 -6.302247510793351770e-01
9.097744360902254357e+00 -6.277753681279343301e-01
9.172932330827066494e+00 -6.253348575846331414e-01
9.248120300751878631e+00 -6.229031849574672153e-01
9.323308270676690768e+00 -6.204803158793795737e-01
9.398496240601502905e+00 -6.180662161077348227e-01
